GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ogham ThymeLeaf v3 integration,fr.sii.ogham.template.thymeleaf.v3,ThymeLeafV3FirstSupportingTemplateResolver,40,59,3,3,5,16,3,5,0,5
Ogham ThymeLeaf v3 integration,fr.sii.ogham.template.thymeleaf.v3,ThymeleafV3TemplateDetector,115,0,12,0,29,0,13,0,7,0
Ogham ThymeLeaf v3 integration,fr.sii.ogham.template.thymeleaf.v3.buider,ThymeleafV3SmsBuilder,18,12,0,0,4,3,3,2,3,2
Ogham ThymeLeaf v3 integration,fr.sii.ogham.template.thymeleaf.v3.buider,ThymeleafV3EmailBuilder,26,0,0,0,5,0,4,0,4,0
Ogham ThymeLeaf v3 integration,fr.sii.ogham.template.thymeleaf.v3.buider,ThymeleafV3EngineConfigBuilder,245,0,20,0,77,0,37,0,27,0
Ogham ThymeLeaf v3 integration,fr.sii.ogham.template.thymeleaf.v3.exception,TemplateResolutionException,27,0,0,0,10,0,4,0,4,0
Ogham ThymeLeaf v3 integration,fr.sii.ogham.template.thymeleaf.v3.configure,DefaultThymeleafV3EmailConfigurer,19,0,4,0,6,0,6,0,4,0
Ogham ThymeLeaf v3 integration,fr.sii.ogham.template.thymeleaf.v3.configure,DefaultThymeleafV3SmsConfigurer,19,0,4,0,6,0,6,0,4,0
