GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ogham SendGrid v2 implementation,fr.sii.ogham.email.sendgrid.v2.sender.impl.sendgrid.client,DelegateSendGridClient,92,0,6,0,18,0,6,0,3,0
Ogham SendGrid v2 implementation,fr.sii.ogham.email.sendgrid.v2.builder.sendgrid,DefaultSendGridV2Configurer,6,64,3,3,2,13,3,4,0,4
Ogham SendGrid v2 implementation,fr.sii.ogham.email.sendgrid.v2.builder.sendgrid,SendGridV2Builder,36,158,10,8,10,31,9,10,2,8
Ogham SendGrid v2 implementation,fr.sii.ogham.email.sendgrid.v2.sender.impl.sendgrid.handler,MultiContentHandler,56,8,9,1,11,4,6,1,1,1
Ogham SendGrid v2 implementation,fr.sii.ogham.email.sendgrid.v2.sender.impl.sendgrid.handler,StringContentHandler,50,65,6,8,7,20,6,5,0,4
Ogham SendGrid v2 implementation,fr.sii.ogham.email.sendgrid.v2.sender.impl.sendgrid.handler,MapContentHandler,39,73,6,8,7,20,6,6,0,5
Ogham SendGrid v2 implementation,fr.sii.ogham.email.sendgrid.v2.sender.impl,SendGridV2Sender,95,172,11,15,18,47,13,8,2,6
